ID,Nombre,Publicado,"Descripción corta",Descripción,"Precio normal"
782,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4000000
783,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4300000
784,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
785,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
786,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
787,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
788,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
789,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
790,"Anillos de matrimonio para parejas en oro blanco con diamantes estilo ESCALOPA",1,,,4500000
795,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,"anillo diamantes flotantes e incrustaciones en oro amarillo y blanco certificado.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro certificado con <strong>espectometría</strong>.</li>\n 	<li>Diamantes certificados.</li>\n</ul>",
796,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
797,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
798,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
799,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
800,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
801,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
802,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
803,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
804,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
805,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
806,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6600000
807,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,6900000
808,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
809,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
810,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
811,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
812,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
813,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
814,"Anillo diamantes flotantes e incrustaciones en oro amarillo y blanco",1,,,7100000
866,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4700000
867,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4700000
869,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
870,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
871,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
872,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
873,"Anillos de Matrimonio en oro blanco con diamantes estilo PAVÉ",1,,,4500000
874,"Anillos de Matrimonio en oro blanco con diamantes estilo PAVÉ",1,,,4500000
875,"Anillos de Matrimonio en oro blanco con diamantes estilo PAVÉ",1,,,4500000
876,"Anillos de Matrimonio en oro blanco con diamantes estilo PAVÉ",1,,,4500000
